question,sql
What is the estimated service credit for this case?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
Can you provide the estimated service credit?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
How much would the service credit be estimated at?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
What is the projected service credit in this situation?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
Can you tell me the estimated amount of service credit?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
What would be the total estimated service credit?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
Can you estimate the service credit for this period?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
What’s the expected service credit for this case?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
How much service credit should be estimated?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
Can you calculate the estimated service credit?,"WITH WeekendData AS (
    SELECT 
        DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME)) AS Friday0600AM,
        DATEADD(DAY, 3, 
                DATEADD(HOUR, 6, 
                CAST(DATEADD(DAY, 
                             -((DATEPART(WEEKDAY, GETDATE()) + @@DATEFIRST - 6) % 7), 
                             CAST(GETDATE() AS DATE)) AS DATETIME))) AS Monday0600AM
),
ReferralStats AS (
    SELECT 
        COUNT(*) AS TotalReferrals,
        SUM(CASE WHEN BreachReasonDateTime IS NOT NULL THEN 1 ELSE 0 END) AS TotalBreaches
    FROM Referrals
    WHERE ReferralCreatedDateTime >= (SELECT Friday0600AM FROM WeekendData)
      AND ReferralCreatedDateTime < (SELECT Monday0600AM FROM WeekendData)
)
SELECT 
    TotalReferrals,
    TotalBreaches,
    (TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals AS SLA_Achieved_Percentage,
    98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) AS PercentagePointsAwayFromTarget,
    CASE 
        WHEN ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals) < 98 THEN 
            (98.0 - ((TotalReferrals - TotalBreaches) * 100.0 / TotalReferrals)) * 300.00
        ELSE 0.00
    END AS ServiceCredit
FROM ReferralStats;
"
